# Constructed from biom file																																			
#OTU ID	B46	B23	B74	B67	B26	B07	B15	B39	B35	B70	B60	B40	B36	B47	B45	B59	B02	B06	B68	B50	B32	B77	B76	B106	B79	B99	B94	B101	B86	B44	B88	B20	B27	B89	taxonomy
OTU_429	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Ophiostomatales; f__Ophiostomataceae; g__Ophiostoma
OTU_37	2	0	0	0	7	0	0	0	0	0	0	22	0	0	0	3	0	0	0	0	0	14	31	1	14	0	0	1	20	4	1	5	6	0	k__Fungi; p__Zygomycota; c__Incertae sedis; o__Mucorales; f__Mucoraceae; g__Mucor
OTU_90	0	2	49	3	0	1	2	0	185	0	0	35	6	275	10	0	6	3	0	19	5	38	12	19	0	3	5	189	0	16	2	21	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae
OTU_663	1	0	0	1	0	0	0	0	4	0	0	0	5	0	1	0	0	1	1	0	1	2	2	4	3	0	0	1	1	3	6	6	1	3	k__Fungi; p__Basidiomycota
OTU_88	48	29	132	3	3	33	0	0	41	5	0	159	2	7	3	0	1	6	117	157	8	169	83	71	16	58	1	29	18	17	37	46	28	81	k__Fungi; p__Basidiomycota; c__Tremellomycetes
OTU_112	1	0	0	0	3	0	0	1	2	3	16	57	17	2	0	11	0	35	0	82	4	3	15	6	2	0	0	7	11	3	4	12	15	8	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida
OTU_188	0	0	0	30	0	1	1	0	1	0	0	1	1	1	2	0	3	0	0	9	1	0	0	0	0	1	0	57	0	0	0	5	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Valsaceae; g__Cytospora
OTU_2094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae
OTU_43	1	12	0	478	28	5	2	8	143	10	0	2	2	2	1	1	1	0	1	18	15	9	15	31	20	14	0	8	67	19	5	222	14	13	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__unidentified; g__unidentified; s__Malasseziales sp
OTU_1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi sp
OTU_65	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida; s__Candida glabrata
OTU_13102	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces
OTU_262	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	k__BLAST; p__Ascomycota; c__Pezizomycetes; o__; f__; g__; s__Pezizomycetes sp. WF148
OTU_212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales
OTU_479	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	2	0	0	0	2	0	0	0	1	1	2	1	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Bovista
OTU_457	0	1	0	0	2	1	0	2	18	1	0	1	3	2	1	0	3	0	0	4	0	0	6	0	1	0	7	8	8	6	3	2	1	2	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Peniophoraceae; g__Peniophora
OTU_304	0	0	0	0	0	0	1	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes
OTU_10413	0	0	0	35	3	0	45	3	0	1	0	0	8	4	4	3	0	2	3	6	18	0	0	2	0	0	0	0	1	11	0	2	1	4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
OTU_266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__Agaricales sp
OTU_24	10	0	0	11	47	3	0	2	33	0	7	9	5	22	11	0	0	0	14	56	10	10	25	3	9	5	0	19	8	110	0	3	9	3	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon
OTU_299	0	0	0	1	0	0	0	1	0	0	0	0	29	1	0	0	0	0	0	4	0	1	0	0	0	1	1	7	0	0	0	1	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Rhytismatales; f__Rhytismataceae; g__Rhytisma; s__Rhytisma acerinum
OTU_52	0	0	0	0	0	1	0	0	0	1	0	24	0	0	0	0	0	0	0	0	11	0	0	9	2	2	0	2	2	0	0	2	2	20	k__BLAST; p__Basidiomycota; c__Exobasidiomycetes; o__Malasseziales; f__; g__; s__uncultured Malassezia
OTU_780	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia
OTU_123	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	6	0	0	0	1	0	0	1	2	0	1	0	2	0	4	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae
OTU_124	2	16	0	36	44	16	37	146	61	8	0	68	4	24	27	2	70	22	2	177	10	28	299	61	65	41	12	48	11	57	9	65	13	23	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
OTU_148	21	0	0	0	2	4	6	4	1	6	16	2	18	3	0	22	49	1	0	242	18	19	30	2	7	0	100	60	7	11	5	31	6	5	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Bipolaris
OTU_503	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Phanerochaetaceae; g__Phanerochaete; s__Phanerochaete sp
